ZIP,LAT,LNG,City,State ,County
82711,44.709224,-104.458623,Alva,WY,Crook
82712,44.45326,-104.121622,Beulah,WY,Crook
82714,44.571551,-104.699607,Devils Tower,WY,Crook
82715,44.119155,-104.133391,Four Corners,WY,Weston
82716,44.464635,-105.695059,Gillette,WY,Campbell
82718,43.878837,-105.621622,Gillette,WY,Campbell
82720,44.795996,-104.670545,Hulett,WY,Crook
82721,44.481838,-104.916416,Moorcroft,WY,Crook
82723,44.001929,-104.422888,Osage,WY,Weston
82725,44.876792,-105.702593,Recluse,WY,Campbell
82727,44.324053,-105.198239,Rozet,WY,Campbell
82729,44.323705,-104.360408,Sundance,WY,Crook
82730,44.045538,-104.697602,Upton,WY,Weston
82731,44.845838,-105.308135,Weston,WY,Campbell
82732,43.705442,-105.619567,Wright,WY,Campbell
82801,44.843713,-106.835993,Sheridan,WY,Sheridan
82831,44.600097,-106.049796,Arvada,WY,Sheridan
82832,44.594845,-106.797089,Banner,WY,Sheridan
82833,44.611356,-107.063394,Big Horn,WY,Sheridan
82834,44.239738,-106.658714,Buffalo,WY,Johnson
82835,44.756041,-106.359287,Clearmont,WY,Sheridan
82836,44.783123,-107.486942,Dayton,WY,Sheridan
82837,44.773384,-106.235269,Leiter,WY,Sheridan
82838,44.933008,-107.577595,Parkman,WY,Sheridan
82839,44.925813,-107.161076,Ranchester,WY,Sheridan
82842,44.572988,-106.93236,Story,WY,Sheridan
82844,44.782566,-107.221085,Wolf,WY,Sheridan
82845,44.753527,-106.654623,Wyarno,WY,Sheridan
82901,41.379272,-108.978176,Rock Springs,WY,Sweetwater
82922,43.12648,-110.411256,Bondurant,WY,Sublette
82923,42.659063,-109.427408,Boulder,WY,Sublette
82925,43.239399,-109.905709,Cora,WY,Sublette
82929,41.555746,-109.843634,Little America,WY,Sweetwater
82930,41.016132,-110.64493,Evanston,WY,Uinta
82932,42.254134,-109.357051,Farson,WY,Sweetwater
82933,41.293212,-110.440833,Fort Bridger,WY,Uinta
82934,41.604084,-110.012918,Granger,WY,Sweetwater
82935,41.688569,-109.664735,Green River,WY,Sweetwater
82936,41.061984,-110.184672,Lonetree,WY,Uinta
82937,41.34708,-110.264865,Lyman,WY,Uinta
82938,41.099639,-109.888823,Mc Kinnon,WY,Sweetwater
82939,41.218918,-110.345571,Mountain View,WY,Uinta
82941,42.904663,-109.738811,Pinedale,WY,Sublette
82942,41.714292,-108.870798,Point Of Rocks,WY,Sweetwater
82943,41.754643,-109.208009,Reliance,WY,Sweetwater
82944,41.162053,-110.464639,Robertson,WY,Uinta
82945,41.744069,-109.051037,Superior,WY,Sweetwater
